,RefSeq Assembly ID,#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
0,GCF_000006765.1,GCF_000006765.1,PRJNA57945,SAMN02603714,na,reference genome,208964.0,287.0,Pseudomonas aeruginosa PAO1,strain=PAO1,na,latest,Complete Genome,Major,Full,2006/07/07,ASM676v1,PathoGenesis Corporation,GCA_000006765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,na,na,na,haploid,bacteria,6264404.0,6264404.0,66.5,1.0,1.0,1.0,PathoGenesis Corporation,Annotation submitted by PathoGenesis Corporation,01/24/19,5697,5572,106,12644476;12644477;10984043;15716452;15608211;15908409;17015649;15995206;18978025;16030221
1,GCF_000014625.1,GCF_000014625.1,PRJNA224116,SAMN02603591,na,na,208963.0,287.0,Pseudomonas aeruginosa UCBPP-PA14,strain=UCBPP-PA14,na,latest,Complete Genome,Major,Full,2006/10/06,ASM1462v1,Massachusetts General Hospital,GCA_000014625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1,na,na,na,haploid,bacteria,6537648.0,6537648.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/26/22,6038,5886,80,17038190
2,GCF_000017205.1,GCF_000017205.1,PRJNA224116,SAMN02603435,na,na,381754.0,287.0,Pseudomonas aeruginosa PA7,strain=PA7,na,latest,Complete Genome,Major,Full,2007/07/05,ASM1720v1,J. Craig Venter Institute,GCA_000017205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/205/GCF_000017205.1_ASM1720v1,na,na,na,haploid,bacteria,6588339.0,6588339.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/12/23,6189,5997,79,20107499
3,GCF_000026645.1,GCF_000026645.1,PRJNA224116,SAMEA1705916,na,na,557722.0,287.0,Pseudomonas aeruginosa LESB58,strain=LESB58,na,latest,Complete Genome,Major,Full,2008/12/24,ASM2664v1,Wellcome Trust Sanger Institute,GCA_000026645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/645/GCF_000026645.1_ASM2664v1,na,na,na,haploid,bacteria,6601757.0,6601757.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/30/22,6185,6042,84,19047519
4,GCF_000168335.1,GCF_000168335.1,PRJNA224116,SAMN02471994,AAQW00000000.1,na,388272.0,287.0,Pseudomonas aeruginosa PACS2,strain=PACS2,na,latest,Chromosome,Major,Full,2006/06/05,ASM16833v1,University of Washington,GCA_000168335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/335/GCF_000168335.1_ASM16833v1,na,na,na,haploid,bacteria,6492423.0,6492423.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/17/19,6039,5923,79,na
5,GCF_000223945.1,GCF_000223945.1,PRJNA224116,SAMN02471401,AFXJ00000000.1,na,1051003.0,287.0,Pseudomonas aeruginosa 19BR,strain=19BR,na,latest,Chromosome,Major,Full,2011/08/17,ASM22394v2,"IBIS, Universite Laval",GCA_000223945.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/945/GCF_000223945.1_ASM22394v2,na,na,na,haploid,bacteria,6742964.0,6742964.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/04/20,6331,6162,81,22207740
6,GCF_018986715.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GCF_019434175.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GCF_003288355.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GCF_000473745.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
